rrc20	196621	196621,15576,174,101,47065,61574,47065
rrc20	12307	12307,29691,6830,174,101,47065,61574,47065
rrc20	59414	59414,6830,174,101,47065,61574,47065
route-views.isc	14361	14361,11164,101,47065,61574,47065
rrc03	8218	8218,6461,174,101,47065,61574,47065
rrc12	8218	8218,6461,174,101,47065,61574,47065
rrc05	8218	8218,6461,174,101,47065,61574,47065
rrc20	8218	8218,6461,174,101,47065,61574,47065
rrc21	8218	8218,6461,174,101,47065,61574,47065
rrc01	8218	8218,6461,174,101,47065,61574,47065
route-views.sg	8220	8220,6453,174,101,47065,61574,47065
rrc12	8222	8222,1299,174,101,47065,61574,47065
rrc00	20514	20514,1299,174,101,47065,61574,47065
rrc00	57381	57381,42708,2603,11164,101,47065,61574,47065
rrc00	34854	34854,206499,34549,13101,174,101,47065,61574,47065
rrc20	47147	47147,1299,174,101,47065,61574,47065
rrc03	47147	47147,1299,174,101,47065,61574,47065
rrc12	47147	47147,1299,174,101,47065,61574,47065
rrc05	47147	47147,1299,174,101,47065,61574,47065
rrc00	34872	34872,50673,174,101,47065,61574,47065
rrc19	57695	57695,328383,327782,37100,174,101,47065,61574,47065
rrc12	57695	57695,3223,1299,174,101,47065,61574,47065
rrc01	57695	57695,62240,174,101,47065,61574,47065
rrc15	57695	57695,262287,16735,174,101,47065,61574,47065
rrc04	12350	12350,174,101,47065,61574,47065
route-views.saopaulo	264268	264268,4230,174,101,47065,61574,47065
route-views4	59469	59469,1299,174,101,47065,61574,47065
route-views.telxatl	4181	4181,11164,101,47065,61574,47065
rrc03	8283	8283,57866,3491,101,47065,61574,47065
route-views2	2152	2152,101,47065,61574,47065
route-views4	45177	45177,174,101,47065,61574,47065
route-views2	22652	22652,174,101,47065,61574,47065
rrc00	22652	22652,174,101,47065,61574,47065
rrc01	8896	8896,174,101,47065,61574,47065
rrc20	20612	20612,1836,174,101,47065,61574,47065
rrc13	41095	41095,3356,174,101,47065,61574,47065
rrc00	209263	209263,39533,6453,174,101,47065,61574,47065
rrc00	174	174,101,47065,61574,47065
rrc01	207044	207044,3356,174,101,47065,61574,47065
rrc21	51405	51405,206610,1299,174,101,47065,61574,47065
route-views4	39120	39120,174,101,47065,61574,47065
rrc01	39122	39122,174,101,47065,61574,47065
rrc03	59605	59605,174,101,47065,61574,47065
rrc21	8426	8426,3356,174,101,47065,61574,47065
route-views2	37100	37100,174,101,47065,61574,47065
rrc13	28917	28917,6762,174,174,174,174,101,101,101,47065,61574,47065
rrc00	209152	209152,34549,13101,174,101,47065,61574,47065
rrc03	8455	8455,2603,11164,101,47065,61574,47065
rrc00	49420	49420,34209,3257,174,101,47065,61574,47065
route-views.nwax	6423	6423,101,47065,61574,47065
rrc00	49432	49432,48362,1764,174,101,47065,61574,47065
rrc13	20764	20764,174,101,47065,61574,47065
rrc07	20764	20764,174,101,47065,61574,47065
route-views2	286	286,174,101,47065,61574,47065
rrc01	286	286,174,101,47065,61574,47065
route-views2	293	293,11537,101,47065,61574,47065
rrc01	14630	14630,6461,174,101,47065,61574,47065
route-views2	31019	31019,39326,1299,174,101,47065,61574,47065
route-views2	8492	8492,20764,174,101,47065,61574,47065
route-views2	6539	6539,577,174,101,47065,61574,47065
rrc10	20811	20811,3356,174,101,47065,61574,47065
